repo_name,commit_sha,parent_commit_sha,old_file_path,new_file_path,diff_myers,diff_hist
pandas,7bfef3b1cba58a6c3aa62493e0b0905bc59e6443,6e08c29a8fd5d69ed3efe0b0f0b6cd0ad111d81e,doc/source/whatsnew/v3.0.0.rst,doc/source/whatsnew/v3.0.0.rst,"@@ -945,6 +945,7 @@ Indexing
 - Bug in :meth:`Series.__setitem__` when assigning boolean series with boolean indexer will raise ``LossySetitemError`` (:issue:`57338`)
 - Bug in printing :attr:`Index.names` and :attr:`MultiIndex.levels` would not escape single quotes (:issue:`60190`)
 - Bug in reindexing of :class:`DataFrame` with :class:`PeriodDtype` columns in case of consolidated block (:issue:`60980`, :issue:`60273`)
+- Bug in :meth:`Index.__getitem__` incorrectly raising with a 0-dim ``np.ndarray`` key (:issue:`55601`)
 
 Missing
 ^^^^^^^
","@@ -945,6 +945,7 @@ Indexing
 - Bug in :meth:`Series.__setitem__` when assigning boolean series with boolean indexer will raise ``LossySetitemError`` (:issue:`57338`)
 - Bug in printing :attr:`Index.names` and :attr:`MultiIndex.levels` would not escape single quotes (:issue:`60190`)
 - Bug in reindexing of :class:`DataFrame` with :class:`PeriodDtype` columns in case of consolidated block (:issue:`60980`, :issue:`60273`)
+- Bug in :meth:`Index.__getitem__` incorrectly raising with a 0-dim ``np.ndarray`` key (:issue:`55601`)
 
 Missing
 ^^^^^^^
"
pandas,7bfef3b1cba58a6c3aa62493e0b0905bc59e6443,6e08c29a8fd5d69ed3efe0b0f0b6cd0ad111d81e,pandas/core/indexes/base.py,pandas/core/indexes/base.py,"@@ -5219,6 +5219,7 @@ class Index(IndexOpsMixin, PandasObject):
         """"""
         getitem = self._data.__getitem__
 
+        key = lib.item_from_zerodim(key)
         if is_integer(key) or is_float(key):
             # GH#44051 exclude bool, which would return a 2d ndarray
             key = com.cast_scalar_indexer(key)
","@@ -5219,6 +5219,7 @@ class Index(IndexOpsMixin, PandasObject):
         """"""
         getitem = self._data.__getitem__
 
+        key = lib.item_from_zerodim(key)
         if is_integer(key) or is_float(key):
             # GH#44051 exclude bool, which would return a 2d ndarray
             key = com.cast_scalar_indexer(key)
"
pandas,7bfef3b1cba58a6c3aa62493e0b0905bc59e6443,6e08c29a8fd5d69ed3efe0b0f0b6cd0ad111d81e,pandas/core/indexes/multi.py,pandas/core/indexes/multi.py,"@@ -2235,6 +2235,7 @@ class MultiIndex(Index):
     # --------------------------------------------------------------------
 
     def __getitem__(self, key):
+        key = lib.item_from_zerodim(key)
         if is_scalar(key):
             key = com.cast_scalar_indexer(key)
 
","@@ -2235,6 +2235,7 @@ class MultiIndex(Index):
     # --------------------------------------------------------------------
 
     def __getitem__(self, key):
+        key = lib.item_from_zerodim(key)
         if is_scalar(key):
             key = com.cast_scalar_indexer(key)
 
"
pandas,7bfef3b1cba58a6c3aa62493e0b0905bc59e6443,6e08c29a8fd5d69ed3efe0b0f0b6cd0ad111d81e,pandas/core/indexes/range.py,pandas/core/indexes/range.py,"@@ -1175,6 +1175,7 @@ class RangeIndex(Index):
         """"""
         Conserve RangeIndex type for scalar and slice keys.
         """"""
+        key = lib.item_from_zerodim(key)
         if key is Ellipsis:
             key = slice(None)
         if isinstance(key, slice):
","@@ -1175,6 +1175,7 @@ class RangeIndex(Index):
         """"""
         Conserve RangeIndex type for scalar and slice keys.
         """"""
+        key = lib.item_from_zerodim(key)
         if key is Ellipsis:
             key = slice(None)
         if isinstance(key, slice):
"
pandas,7bfef3b1cba58a6c3aa62493e0b0905bc59e6443,6e08c29a8fd5d69ed3efe0b0f0b6cd0ad111d81e,pandas/tests/indexes/test_any_index.py,pandas/tests/indexes/test_any_index.py,"@@ -117,6 +117,15 @@ class TestRoundTrips:
 
 
 class TestIndexing:
+    def test_getitem_0d_ndarray(self, index):
+        # GH#55601
+        if len(index) == 0:
+            pytest.skip(reason=""Test assumes non-empty index"")
+        key = np.array(0)
+        result = index[key]
+
+        assert result == index[0]
+
     def test_get_loc_listlike_raises_invalid_index_error(self, index):
         # and never TypeError
         key = np.array([0, 1], dtype=np.intp)
","@@ -117,6 +117,15 @@ class TestRoundTrips:
 
 
 class TestIndexing:
+    def test_getitem_0d_ndarray(self, index):
+        # GH#55601
+        if len(index) == 0:
+            pytest.skip(reason=""Test assumes non-empty index"")
+        key = np.array(0)
+        result = index[key]
+
+        assert result == index[0]
+
     def test_get_loc_listlike_raises_invalid_index_error(self, index):
         # and never TypeError
         key = np.array([0, 1], dtype=np.intp)
"
pandas,6e08c29a8fd5d69ed3efe0b0f0b6cd0ad111d81e,3e1d6d5bc853bd8bc983291b12aec2dbf477dde6,pandas/core/missing.py,pandas/core/missing.py,"@@ -45,8 +45,12 @@ from pandas.core.dtypes.missing import (
 )
 
 if TYPE_CHECKING:
+    from typing import TypeAlias
+
     from pandas import Index
 
